Parameter,Hugo_Symbol,Source
Tcm,CDC14A,"Immunity,2013"
Tcm,ATM,"Immunity,2013"
Tcm,USP9Y,"Immunity,2013"
Tcm,PCNX,"Immunity,2013"
Tcm,FOXP1,"Immunity,2013"
Tcm,KLF12,"Immunity,2013"
Tcm,ST3GAL1,"Immunity,2013"
Tcm,INPP4B,"Immunity,2013"
Tcm,CASP8,"Immunity,2013"
Tcm,MLL,"Immunity,2013"
Tcm,PCM1,"Immunity,2013"
Tcm,RP11-7E24.2,"Immunity,2013"
Tcm,PHC3,"Immunity,2013"
Tcm,NFATC3,"Immunity,2013"
Tcm,LOC202134,"Immunity,2013"
Tcm,TIMM8A,"Immunity,2013"
Tcm,ATF7IP,"Immunity,2013"
Tcm,REPS1,"Immunity,2013"
Tcm,PSPC1,"Immunity,2013"
Tcm,RPP38,"Immunity,2013"
Tcm,HNRPH1,"Immunity,2013"
Tcm,STX16,"Immunity,2013"
Tcm,CYLD,"Immunity,2013"
Tcm,SNRPN,"Immunity,2013"
Tcm,TRAF3IP3,"Immunity,2013"
Tcm,NEFL,"Immunity,2013"
Tcm,POLR2J2,"Immunity,2013"
Tcm,AQP3,"Immunity,2013"
Tcm,C7orf30,"Immunity,2013"
Tcm,PDXDC2,"Immunity,2013"
Tcm,CLUAP1,"Immunity,2013"
Tcm,DOCK9,"Immunity,2013"
Tcm,CYorf15B,"Immunity,2013"
Tcm,CREBZF,"Immunity,2013"
Tcm,CEP68,"Immunity,2013"
Tcm,TXK,"Immunity,2013"
Tcm,SLC7A6,"Immunity,2013"
Tcm,FYB,"Immunity,2013"
Tcm,MAP3K1,"Immunity,2013"
Tem,TRA@,"Immunity,2013"
Tem,PRKY,"Immunity,2013"
Tem,VIL2,"Immunity,2013"
Tem,GDPD5,"Immunity,2013"
Tem,CCR2,"Immunity,2013"
Tem,MEFV,"Immunity,2013"
Tem,C7orf54,"Immunity,2013"
Tem,FLI1,"Immunity,2013"
Tem,TBC1D5,"Immunity,2013"
Tem,DDX17,"Immunity,2013"
Tem,AKT3,"Immunity,2013"
Tem,EWSR1,"Immunity,2013"
Tem,TBCD,"Immunity,2013"
Tem,NFATC4,"Immunity,2013"
Tem,LTK,"Immunity,2013"
Th1_cells,IFNG,"Immunity,2013"
Th1_cells,LTA,"Immunity,2013"
Th1_cells,APBB2,"Immunity,2013"
Th1_cells,DOK5,"Immunity,2013"
Th1_cells,IL12RB2,"Immunity,2013"
Th1_cells,APOD,"Immunity,2013"
Th1_cells,ZBTB32,"Immunity,2013"
Th1_cells,CD38,"Immunity,2013"
Th1_cells,CSF2,"Immunity,2013"
Th1_cells,CTLA4,"Immunity,2013"
Th1_cells,CD70,"Immunity,2013"
Th1_cells,DPP4,"Immunity,2013"
Th1_cells,EGFL6,"Immunity,2013"
Th1_cells,BST2,"Immunity,2013"
Th1_cells,DUSP5,"Immunity,2013"
Th1_cells,LRP8,"Immunity,2013"
Th1_cells,IL22,"Immunity,2013"
Th1_cells,DGKI,"Immunity,2013"
Th1_cells,CCL4,"Immunity,2013"
Th1_cells,GGT1,"Immunity,2013"
Th1_cells,LRRN3,"Immunity,2013"
Th1_cells,SYNGR3,"Immunity,2013"
Th1_cells,ATP9A,"Immunity,2013"
Th1_cells,BTG3,"Immunity,2013"
Th1_cells,CMAH,"Immunity,2013"
Th1_cells,HBEGF,"Immunity,2013"
Th1_cells,SGCB,"Immunity,2013"
Th2_cells,PMCH,"Immunity,2013"
Th2_cells,AHI1,"Immunity,2013"
Th2_cells,PTGIS,"Immunity,2013"
